ObservatoryID,UnitID,EventID,Filename,Filetype,PlateNumber,Position,Download URL
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,5266139,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/d1e36dd1-0ab7-4155-8598-e702b0c33875.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574139,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/50eb7619-61d8-4a25-9ef6-469f61f9ffe3.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574091,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/93dc1f62-05a9-4706-be84-e34e94a5c17f.jpg
BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,5266248,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9cbe39f8-dd4b-415c-b7ad-f64330df341f.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574174,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f6b14420-a937-4b7a-80b9-0f8e908a5d23.jpg
BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,5266239,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4b773f29-9e2f-4fde-8bcd-d4b58442b0de.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574097,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/ac3424c0-ab57-45e5-893e-3f98dd32906c.jpg
BelgiumCoast,AJJCD89,ARMS_BelgiumCoast_AJJCD89_20210225_20210819,5266284,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/06fca790-2603-4aee-8a56-5cc44059bbcd.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574083,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/38f8fab1-512b-4d9e-9c12-60b955f796f1.jpg
BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,5513535,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/42812be0-f61a-4f7a-927b-ff9540d7d241.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766699,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/a24ceebe-91fb-4c76-b2b5-3e366566d59d.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766710,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/0304989c-7c56-47de-ad60-01d67fd866bd.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,5266133,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/2b292d6b-24b0-43f3-b975-6d771656efcc.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574114,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/ebdc6758-5ed6-4a4b-9ba1-fc6772852ae0.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574142,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/fcf58652-a1b6-4b6b-ae7f-bfba5249bf03.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574068,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c0e8abb2-88e9-4e44-86e4-d4525bee804b.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574178,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/bc3c9656-c703-42cd-b089-d3e3e3abe158.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574171,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/6835a04f-f7c3-422f-b6eb-6cbc9537a7f7.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574162,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/c040d011-3d63-4154-b2e1-d8ff11e8429e.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574087,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/155ed058-9e1a-4a6a-b6b6-7818836b2775.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574185,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/818d6d23-8f81-47e0-9f9e-ee54efd61bc3.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766748,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/5141c676-c110-4d71-991b-7b61c63707d7.jpg
BelgiumCoast,CoastbustersA,ARMS_BelgiumCoast_CoastbustersA_20210422_20211008,5513546,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/386540f1-8949-4ee4-9c38-6968c714bde6.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574137,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/e15da53d-688c-47ad-8443-6d6d56f598ae.jpg
BelgiumCoast,BirkenfelsA,ARMS_BelgiumCoast_BirkenfelsA_20200617_20210309,5575131,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/4cc59bb2-4b48-4c83-a913-a1edef54cfa7.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574129,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/01fe8f7a-6f14-4428-88ea-7e771b5294da.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574170,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cfa1cc21-e027-425c-9891-09b33394f882.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574164,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/3b934a03-dcaa-4280-9dcd-768d689e707e.jpg
BelgiumCoast,AJJBC89,ARMS_BelgiumCoast_AJJBC89_20210225_20210819,5266250,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/936f1d6a-1ce8-4fad-84f1-9022053086f5.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766706,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/ec922c15-eff7-4a0d-b065-ece18ab5c796.jpg
BelgiumCoast,AJJC81,ARMS_BelgiumCoast_AJJC81_20200506_20201012,3574082,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/8c493c87-6318-4496-9772-d280e352edd6.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766714,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/cfe4a807-e39f-4383-81df-e059f40c86a8.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20210225_20210819,5266132,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/f04902b5-7c80-4e80-91f9-7246648123d7.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574111,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/dd4442ac-3619-4046-ad14-70d3f14315b9.jpg
BelgiumCoast,AJJCD78,ARMS_BelgiumCoast_AJJCD78_20200506_20201012,3574160,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/b65d0381-84b3-4fd1-ac4e-33c55eff37f5.jpg
BelgiumCoast,BirkenfelsB,ARMS_BelgiumCoast_BirkenfelsB_20200617_20210309,3766746,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/9805574d-f551-42f2-ad82-f55d01df019f.jpg
BelgiumCoast,AJJC86,ARMS_BelgiumCoast_AJJC86_20200506_20201012,3574140,Image,Not Provided,Not Provided,https://s3.hpc.ut.ee/plutof-public/original/97d53447-e98a-41c1-9342-8faf23e3fc04.jpg
